run_id,owner,status,model,dataset,tokens,schedule,decay_start,decay_length,final_lr_ratio,trigger,seed,result,notes
cosine_debug_20260604-080734,TBD,finished,small_llama_256x4,HuggingFaceFW/fineweb,409600,cosine,,,0.1,fixed,1,8.92782802581787,small cosine FineWeb debug baseline
wsd_debug_20260604-080859,TBD,finished,small_llama_256x4,HuggingFaceFW/fineweb,409600,wsd,40,10,0.1,fixed,1,8.377143049240113,small WSD FineWeb debug baseline
wsd_intermediate_sweep_r003_20260604-112221,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,524288000,wsd_s,900,100,0.03,fixed,1,4.154998798370361,intermediate WSD probe sweep with final LR ratio 0.03
wsd_intermediate_sweep_r010_20260604-140648,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,524288000,wsd_s,900,100,0.1,fixed,1,4.14402585029602,intermediate WSD probe sweep with final LR ratio 0.1
cosine_0_1b_fineweb_2_6b_20260604-085109,TBD,finished,llama_0_1B,HuggingFaceFW/fineweb,2621440000,cosine,,,0.1,fixed,1,3.815857672691345,0.1B LLaMA cosine 2.6B-token baseline on FineWeb sample-100BT
wsd_intermediate_fineweb_0_5b_20260604-140516,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,524288000,wsd_s,900,100,0.1,fixed,1,4.138580055236816,intermediate LLaMA WSD 0.5B-token FineWeb baseline for WSD ablations
wsd_s_0_1b_fineweb_2_6b_20260604-104941,TBD,finished,llama_0_1B,HuggingFaceFW/fineweb,2621440000,wsd_s,1125,125,0.1,fixed,1,3.690046229362488,0.1B LLaMA WSD-S 2.6B-token baseline on FineWeb sample-100BT
wsd_intermediate_paper_decay_20260605-154459,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,524288000,wsd_s,800,200,0.01,fixed,1,4.234587049484253,"WSD with paper-like decay — 20% decay window (800-1000), final_lr_ratio=0.01 (MiniCPM)"
cosine_intermediate_paper_decay_20260605-154448,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,524288000,cosine,,,0.01,fixed,1,4.470232286453247,cosine with paper-like final LR — min_lr_ratio=0.01 (MiniCPM comparable)
wsd_intermediate_amount_sweep_20260605-154506,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,471859200,wsd_s,900,100,0.1,fixed,1,4.223833389282227,intermediate WSD decay amount sweep from step 900 with 100-step probe decay
wsd_intermediate_plateau_amount_sweep_20260606-083454,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,734003200,warmup_stable,,,,fixed,1,3.9999037170410157,plateau-region decay amount sweep with stable continuation baseline
policy_decay_baseline_5k_20260607-085223,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,2621440000,wsd_s,4500,500,0.25,fixed,1,3.5582223033905027,"policy decay baseline — fixed wsd_s decay at step 4500 (end 5000), final_lr_ratio=0.25"
policy_decay_grad_snr_5k_20260607-085240,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,2621440000,warmup_stable,,,,grad_snr_low,1,3.5620632553100586,"policy decay — grad_snr_low trigger from step 3500, decay_length=500, final_lr_ratio=0.25"
policy_decay_loss_variance_5k_20260607-085251,TBD,finished,llama_intermediate_512x8,HuggingFaceFW/fineweb,2621440000,warmup_stable,,,,loss_variance_low,1,3.560365581512451,"policy decay — loss_variance_low trigger from step 3500, decay_length=500, final_lr_ratio=0.25"
